x,y,z,synthetic,overlap,withheld,return_number,intensity,classification,scanner_channel,edge_of_flight_line,scan_angle,pc_ID,key_point,gps_time,scan_direction_flag,label_semantikarto,probability,point_source_id,user_data,number_of_returns,cluster_label
11.748004899957499,0.18692560001653952,2.4561102996100255,0,0,0,0,18004,5,0,0,0,1.0,0,52717.48872878189,0,1,0.990814745426178,0,0,0,0
11.753849099718796,0.19905750024605715,2.467049899883875,0,0,0,0,19281,5,0,0,0,1.0,0,52717.48872878189,0,1,0.990814745426178,0,0,0,0
11.760692600073178,0.2111974003639645,2.475986299851142,0,0,0,0,19547,5,0,0,0,1.0,0,52717.48875929947,0,1,0.991783857345581,0,0,0,0
11.758563999963835,0.22120239975440803,2.4859551000881037,0,0,0,0,18140,5,0,0,0,1.0,0,52717.48875929947,0,1,0.991783857345581,0,0,0,0
11.762416899594289,0.23229240005708862,2.493904000130297,0,0,0,0,17936,5,0,0,0,1.0,0,52717.48875929947,0,1,0.991783857345581,0,0,0,0
11.763317099709143,0.24034389980041615,2.503871800102632,0,0,0,0,18021,5,0,0,0,1.0,0,52717.48875929947,0,1,0.991783857345581,0,0,0,0
11.768131300191657,0.2544563999737735,2.513806199917831,0,0,0,0,18021,5,0,0,0,1.0,0,52717.48875929947,0,1,0.991783857345581,0,0,0,0
11.772968299752076,0.26656539973854443,2.5227483002892575,0,0,0,0,20225,5,0,0,0,1.0,0,52717.48875929947,0,1,0.9931861162185669,0,0,0,0
11.648982999843543,-0.12371559991015645,2.1635268996428128,0,0,0,0,15355,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9639387130737305,0,0,0,0
11.71708299977832,-0.06056559967687779,2.1881087996007498,0,0,0,0,29620,5,0,0,0,1.0,0,52717.493733664705,0,1,0.8586586117744446,0,0,0,0
11.723888400097616,-0.04541490023634308,2.200034499733806,0,0,0,0,38866,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9325782060623169,0,0,0,0
11.726749500053167,-0.03534390012527026,2.2069896001256684,0,0,0,0,41344,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9325782060623169,0,0,0,0
11.728611000294814,-0.024269999908018876,2.218943399812941,0,0,0,0,43364,5,0,0,0,1.0,0,52717.493733664705,0,1,0.943363606929779,0,0,0,0
11.726535799623594,-0.018275599861964704,2.225927199841643,0,0,0,0,45738,5,0,0,0,1.0,0,52717.493733664705,0,1,0.943363606929779,0,0,0,0
11.711567000000267,-0.018470100340078146,2.2359683998948174,0,0,0,0,44848,5,0,0,0,1.0,0,52717.493733664705,0,1,0.943363606929779,0,0,0,0
11.698558799749893,-0.01664509972092886,2.2429964998047534,0,0,0,0,46360,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9935114979743958,0,0,0,0
11.69446189969378,-0.00867070012389878,2.2529782002950665,0,0,0,0,53227,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9935114979743958,0,0,0,0
11.688404099796971,-0.0037380000202531793,2.2599767000634645,0,0,0,0,54639,5,0,0,0,1.0,0,52717.493733664705,0,1,0.9935114979743958,0,0,0,0
