x,y,z,return_number,overlap,classification,number_of_returns,edge_of_flight_line,gps_time,pc_ID,key_point,probability,withheld,synthetic,scanner_channel,point_source_id,scan_angle,user_data,intensity,label_semantikarto,scan_direction_flag,cluster_label
0.1638641501681621,0.24665470019483632,4.853981301355046,0,0,9,0,0,53049.076922138884,3.0,0,0.999963641166687,0,0,0,0,0,0,47398,1,0,1
0.16286465018775687,0.23565469969719421,4.865981398651811,0,0,9,0,0,53049.07692309256,3.0,0,0.999963641166687,0,0,0,0,0,0,47256,1,0,1
0.16286465018775687,0.22265470013280694,4.87598140049366,0,0,9,0,0,53049.07692410584,3.0,0,0.999963641166687,0,0,0,0,0,0,46807,1,0,1
0.16286465018775687,0.21265469979415338,4.884981500052933,0,0,9,0,0,53049.07692505951,3.0,0,0.999963641166687,0,0,0,0,0,0,46599,1,0,1
0.1638641501681621,0.20165470054774318,4.896981300204241,0,0,9,0,0,53049.07692607279,3.0,0,0.999963641166687,0,0,0,0,0,0,46239,1,0,1
0.16586304953345726,0.1916546995834737,4.9079814999102,0,0,9,0,0,53049.076927026465,3.0,0,0.9999485015869141,0,0,0,0,0,0,46185,1,0,1
0.16886135004847597,0.18265470002942463,4.9189814009067785,0,0,9,0,0,53049.07692803974,3.0,0,0.9999485015869141,0,0,0,0,0,0,46585,1,0,1
0.1738662498977977,0.1726546996907711,4.9309814997674675,0,0,9,0,0,53049.07692899342,3.0,0,0.9999629259109497,0,0,0,0,0,0,46424,1,0,1
0.17786404980494377,0.16665469998807173,4.939981500799562,0,0,9,0,0,53049.0769300067,3.0,0,0.9999629259109497,0,0,0,0,0,0,46262,1,0,1
0.18486024964606818,0.1596547001263838,4.952981300196702,0,0,9,0,0,53049.07693096037,3.0,0,0.9999629259109497,0,0,0,0,0,0,46427,1,0,1
0.19086455005683553,0.15365470042368443,4.96498139905739,0,0,9,0,0,53049.07693197365,3.0,0,0.9999629259109497,0,0,0,0,0,0,46588,1,0,1
0.19586184994438688,0.14865470025435767,4.973981498616663,0,0,9,0,0,53049.076932927324,3.0,0,0.9994984865188599,0,0,0,0,0,0,46350,1,0,1
0.2018661497668764,0.1406547002336812,4.986981499759928,0,0,9,0,0,53049.0769339406,3.0,0,0.9994984865188599,0,0,0,0,0,0,46593,1,0,1
0.20886235019627863,0.13665470022334297,4.997981400756506,0,0,9,0,0,53049.07693489428,3.0,0,0.9994984865188599,0,0,0,0,0,0,46582,1,0,1
0.21786495053378685,0.1306547005206436,5.010981400335848,0,0,9,0,0,53049.07693590756,3.0,0,0.9999250173568726,0,0,0,0,0,0,46681,1,0,1
0.22686005032848425,0.12565470035131682,5.022981499196537,0,0,9,0,0,53049.07693686123,3.0,0,0.9999668598175049,0,0,0,0,0,0,46906,1,0,1
0.23586275008495206,0.12465469956671232,5.033981400193116,0,0,9,0,0,53049.07693787451,3.0,0,0.9994780421257019,0,0,0,0,0,0,46716,1,0,1
0.2488632503368438,0.12065470018199004,5.04798130049111,0,0,9,0,0,53049.076938828184,3.0,0,0.9994780421257019,0,0,0,0,0,0,45898,1,0,1
0.2608642500200524,0.12065470018199004,5.058981498633146,0,0,9,0,0,53049.07693984146,3.0,0,0.9994780421257019,0,0,0,0,0,0,45211,1,0,1
0.2778625501790903,0.12365470003333973,5.0749815006417505,0,0,9,0,0,53049.07694079514,3.0,0,0.9991418123245239,0,0,0,0,0,0,44900,1,0,1
0.2948608497498503,0.12565470035131682,5.087981498657169,0,0,9,0,0,53049.07694180842,3.0,0,0.9991418123245239,0,0,0,0,0,0,42798,1,0,1
0.17086025000204902,0.28665469967260265,4.781981599627285,0,0,9,0,0,53049.081931372835,3.0,0,0.9659016132354736,0,0,0,0,0,0,29512,1,0,1
0.17086025000204902,0.27665469995956504,4.790981400477177,0,0,9,0,0,53049.081932386114,3.0,0,0.9659016132354736,0,0,0,0,0,0,41745,1,0,1
0.16586304953345726,0.2616547000772007,4.800981399191179,0,0,9,0,0,53049.08193333979,3.0,0,0.9999611377716064,0,0,0,0,0,0,45573,1,0,1
0.16286465018775687,0.24465469987685923,4.811981500369961,0,0,9,0,0,53049.08193435307,3.0,0,0.9999611377716064,0,0,0,0,0,0,46996,1,0,1
0.16286465018775687,0.23265469984584453,4.821981499083963,0,0,9,0,0,53049.08193530674,3.0,0,0.9999611377716064,0,0,0,0,0,0,47213,1,0,1
0.16286465018775687,0.2216546999738184,4.831981499361889,0,0,9,0,0,53049.08193632002,3.0,0,0.9999611377716064,0,0,0,0,0,0,47397,1,0,1
0.1648635501413299,0.2116547002607808,4.8439813996042975,0,0,9,0,0,53049.081937273695,3.0,0,0.999963641166687,0,0,0,0,0,0,46881,1,0,1
0.1648635501413299,0.19965470022976609,4.853981301355046,0,0,9,0,0,53049.081938286974,3.0,0,0.9999485015869141,0,0,0,0,0,0,46337,1,0,1
0.16586304953345726,0.18865470035773996,4.865981398651811,0,0,9,0,0,53049.08193924065,3.0,0,0.9999485015869141,0,0,0,0,0,0,45798,1,0,1
0.16886135004847597,0.1806547003370635,4.87598140049366,0,0,9,0,0,53049.08194025393,3.0,0,0.9999485015869141,0,0,0,0,0,0,45640,1,0,1
0.17486575046648084,0.17165470015739848,4.886981299926315,0,0,9,0,0,53049.0819412076,3.0,0,0.9999485015869141,0,0,0,0,0,0,45981,1,0,1
0.17886354978534902,0.1656547004546991,4.897981501196198,0,0,9,0,0,53049.08194222088,3.0,0,0.9999485015869141,0,0,0,0,0,0,45358,1,0,1
0.18386075025394077,0.15865469996739526,4.908981399064929,0,0,9,0,0,53049.081943174555,3.0,0,0.9999485015869141,0,0,0,0,0,0,45142,1,0,1
0.18986515008366775,0.14965469978773027,4.9209814994895416,0,0,9,0,0,53049.081944187834,3.0,0,0.9999629259109497,0,0,0,0,0,0,45624,1,0,1
0.19586184994438688,0.1436547000850309,4.932981301204774,0,0,9,0,0,53049.08194514151,3.0,0,0.9999345541000366,0,0,0,0,0,0,46120,1,0,1
