x,y,z,label_semantikarto,number_of_returns,gps_time,edge_of_flight_line,synthetic,scanner_channel,return_number,scan_direction_flag,probability,withheld,intensity,classification,pc_ID,point_source_id,scan_angle,overlap,user_data,key_point,cluster_label
3.970310150112712,-0.34687340019533125,1.778993900121148,1,0,53815.42982985611,0,0,0,0,0,0.5269559025764465,0,27512,5,1.0,0,0,0,0,0,0
3.963306449528289,-0.34787340042746995,1.772993900149121,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,27820,5,1.0,0,0,0,0,0,0
3.963306449528289,-0.34787340042746995,1.772993900149121,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,27820,5,1.0,0,0,0,0,0,0
3.954303749800935,-0.34787340042746995,1.7669938000433096,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,28341,5,1.0,0,0,0,0,0,0
3.946308149718355,-0.34687340019533125,1.7609938000712826,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,28624,5,1.0,0,0,0,0,0,0
3.937305449991001,-0.34787340042746995,1.7539937985867393,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,29038,5,1.0,0,0,0,0,0,0
3.9313087499290664,-0.34787340042746995,1.7449939998065744,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,28624,5,1.0,0,0,0,0,0,0
3.9223060497363496,-0.34987339950267965,1.7379935996075075,1,0,53815.42982985611,0,0,0,0,0,0.5431187152862549,0,28760,5,1.0,0,0,0,0,0,0
3.9103050502372154,-0.34687340019533125,1.731994000170618,1,0,53815.42982985611,0,0,0,0,0,0.5201277732849121,0,30712,5,1.0,0,0,0,0,0,0
4.264308949812436,-0.08587340003157631,2.1949937992616517,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,50892,9,1.0,0,0,0,0,0,0
4.249309550023147,-0.0768734000259296,2.1889937992896247,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,51648,9,1.0,0,0,0,0,0,0
4.236309050254503,-0.07487339956165222,2.1829937010044276,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,52506,9,1.0,0,0,0,0,0,0
