Filename,ClusterLabel,ClusterCenter,ClusterAverage
road_signs_anotation_data_19_semantikarto_filtered_planarity_clustered.laz,1,"x    71.986212
y    -0.090104
z     2.747762
dtype: float64","x    71.958785
y    -0.100821
z     2.834128
dtype: float64"
road_signs_anotation_data_19_semantikarto_filtered_planarity_clustered.laz,2,"x    71.986212
y    -0.090104
z     2.747762
dtype: float64","x    71.958785
y    -0.100821
z     2.834128
dtype: float64"
road_signs_anotation_data_19_semantikarto_filtered_planarity_clustered.laz,3,"x    71.986212
y    -0.090104
z     2.747762
dtype: float64","x    71.958785
y    -0.100821
z     2.834128
dtype: float64"
road_signs_anotation_data_1_semantikarto_filtered_planarity_clustered.laz,0,"x    0.220663
y    0.148811
z    5.019272
dtype: float64","x    0.198463
y    0.142655
z    4.824058
dtype: float64"
road_signs_anotation_data_1_semantikarto_filtered_planarity_clustered.laz,1,"x    0.220663
y    0.148811
z    5.019272
dtype: float64","x    0.198463
y    0.142655
z    4.824058
dtype: float64"
road_signs_anotation_data_1_semantikarto_filtered_planarity_clustered.laz,2,"x    0.220663
y    0.148811
z    5.019272
dtype: float64","x    0.198463
y    0.142655
z    4.824058
dtype: float64"
road_signs_anotation_data_1_semantikarto_filtered_planarity_clustered.laz,3,"x    0.220663
y    0.148811
z    5.019272
dtype: float64","x    0.198463
y    0.142655
z    4.824058
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,0,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,1,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,2,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,3,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,4,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_20_semantikarto_filtered_planarity_clustered.laz,5,"x    76.545435
y    -0.003028
z     2.809638
dtype: float64","x    76.637828
y     0.097212
z     2.701812
dtype: float64"
road_signs_anotation_data_22_semantikarto_filtered_planarity_clustered.laz,0,"x    84.129354
y     0.147591
z     3.020608
dtype: float64","x    84.140854
y     0.144114
z     3.058307
dtype: float64"
road_signs_anotation_data_22_semantikarto_filtered_planarity_clustered.laz,1,"x    84.129354
y     0.147591
z     3.020608
dtype: float64","x    84.140854
y     0.144114
z     3.058307
dtype: float64"
road_signs_anotation_data_23_semantikarto_filtered_planarity_clustered.laz,0,"x    87.815082
y    -0.374227
z     2.573328
dtype: float64","x    87.828082
y    -0.397913
z     2.547848
dtype: float64"
road_signs_anotation_data_23_semantikarto_filtered_planarity_clustered.laz,1,"x    87.815082
y    -0.374227
z     2.573328
dtype: float64","x    87.828082
y    -0.397913
z     2.547848
dtype: float64"
road_signs_anotation_data_24_semantikarto_filtered_planarity_clustered.laz,0,"x    92.036740
y     0.040466
z     9.106202
dtype: float64","x    92.159514
y     0.001242
z     8.921783
dtype: float64"
road_signs_anotation_data_24_semantikarto_filtered_planarity_clustered.laz,1,"x    92.036740
y     0.040466
z     9.106202
dtype: float64","x    92.159514
y     0.001242
z     8.921783
dtype: float64"
road_signs_anotation_data_24_semantikarto_filtered_planarity_clustered.laz,2,"x    92.036740
y     0.040466
z     9.106202
dtype: float64","x    92.159514
y     0.001242
z     8.921783
dtype: float64"
